#SampleID	Site.name	Site	Treatment	Site.Treatment	Al	As	B	Ba	Be	Ca	Cd	Co	Cr	Cu	Cu	Fe	Hg	K	Li	Mg	Mn	Mo	Na	Ni	P	Pb	S	Se	Sr	Ti	V	Zn
E1	FT1	1	Natural	1.N	7046.55	2.29	0.32	57.06	0.36	1890.98	1.33	4.91	8.05	25.47	23.67	17417.10	0.00	1202.33	7.82	613.90	279.97	0.00	113.61	12.49	769.64	846.26	1208.54	0.82	18.65	2.82	6.77	132.36
E2	FT2	1	Natural	1.N	9605.19	2.62	0.00	43.44	0.58	304.75	0.00	5.80	11.52	18.58	17.58	25075.00	0.00	1372.36	13.99	730.91	194.22	0.00	48.85	10.58	480.30	86.76	285.41	0.04	20.80	2.14	8.27	52.47
E3	FT3	1	Natural	1.N	9886.99	4.30	0.00	65.21	0.56	784.57	0.13	17.27	12.46	25.27	23.69	30464.80	0.00	1429.40	11.39	604.94	584.73	0.00	23.85	9.72	711.12	43.37	533.13	0.22	24.37	2.31	8.29	60.15
E4	A1	2	Natural	2.N	5778.56	2.92	0.00	41.60	0.00	2012.61	0.77	0.66	6.00	39.95	37.81	6371.27	0.00	402.69	3.94	370.42	341.36	0.25	6.74	3.35	880.70	90.27	1099.58	1.29	8.70	61.40	11.21	105.00
E5	A2	2	Natural	2.N	4387.58	4.06	0.00	28.13	0.00	592.88	0.38	0.56	5.52	38.07	35.95	5955.50	0.00	282.81	3.25	244.33	200.07	0.28	8.97	2.76	672.89	111.27	677.97	1.62	4.54	53.40	12.61	69.28
E6	A3	2	Natural	2.N	2814.96	2.18	0.00	22.90	0.00	271.20	0.20	0.83	3.22	32.88	30.76	6193.46	0.00	138.10	3.21	263.00	497.57	0.00	0.00	2.03	401.84	49.24	234.49	0.52	3.14	21.36	5.96	52.51
E7	B3P1	3	Natural	3.N	5618.06	9.98	0.00	72.36	0.18	1838.37	3.29	2.60	16.94	39.73	37.33	10575.70	0.00	692.71	4.03	610.94	498.45	1.85	53.35	12.84	1139.74	497.13	2142.96	4.95	17.28	163.62	23.05	363.62
E8	B3P2	3	Natural	3.N	4970.53	10.71	0.39	224.16	0.28	2027.17	9.05	6.35	14.13	61.49	57.09	8857.75	0.00	889.73	3.31	525.76	610.72	1.62	112.09	20.10	1177.82	659.09	2435.77	6.08	22.86	165.41	19.92	412.91
E9	B3P3	3	Natural	3.N	8943.54	9.06	0.00	70.94	0.20	1053.77	2.27	1.27	12.41	20.00	19.18	14765.00	0.00	1148.44	5.30	440.91	590.95	0.38	41.12	6.17	832.50	170.58	1114.68	2.48	23.72	5.98	17.40	181.74
E10	B4P1	4	Natural	4.N	5681.73	12.27	0.00	129.78	0.39	1724.46	22.80	8.68	12.84	41.90	39.36	8166.49	0.00	635.41	3.44	463.42	838.80	0.96	26.54	14.15	746.92	365.36	1309.12	4.35	19.17	111.52	24.03	653.84
E11	B4P2	4	Natural	4.N	4976.92	10.05	0.00	78.15	0.06	745.57	3.76	2.16	8.77	60.40	55.91	7332.26	0.00	484.34	3.01	280.91	222.34	0.87	20.42	6.35	561.60	208.26	1181.89	2.78	9.17	55.96	16.48	208.84
E12	B4P3	4	Natural	4.N	2743.50	3.99	2.62	82.00	0.03	2095.13	8.75	4.12	8.29	40.61	37.97	4569.96	0.00	996.03	2.50	347.76	325.54	1.28	189.40	17.81	1025.25	268.91	2758.10	3.41	15.81	82.19	11.35	470.41
E13	B5P1	5	Natural	5.N	4073.06	9.93	0.00	53.12	0.08	198.28	3.91	0.74	6.61	19.21	18.16	6813.93	0.00	253.23	2.65	193.55	109.26	0.49	9.39	3.69	449.94	213.59	670.72	2.28	4.96	50.24	16.55	168.52
E14	B5P2	5	Natural	5.N	6905.24	9.31	0.00	37.55	0.04	297.19	2.17	0.87	8.73	17.49	16.56	12182.20	0.00	343.78	4.76	356.10	101.01	0.26	10.64	3.53	425.30	241.05	494.52	1.70	6.15	36.51	17.42	159.72
E15	B5P3	5	Natural	5.N	3307.89	6.81	0.00	95.67	0.12	1291.47	9.04	0.98	6.69	30.88	28.93	4852.26	0.00	407.90	2.40	236.99	191.97	0.73	19.08	6.07	662.88	237.14	1218.75	2.96	10.84	88.37	15.01	367.60
E16	B6P1	6	Natural	6.N	10720.70	35.70	0.00	388.61	1.05	1573.88	39.96	6.83	26.22	84.35	80.27	22429.30	0.00	1154.52	9.22	639.98	4345.73	1.41	59.86	15.60	1158.37	674.10	1514.29	5.73	38.21	62.43	30.27	2108.88
E17	B6P2	6	Natural	6.N	11851.10	54.05	0.00	336.30	1.05	1020.29	23.98	6.17	24.92	99.18	94.81	25003.30	0.00	1134.59	12.82	792.49	2756.61	1.62	57.69	15.36	1157.20	772.46	1348.07	6.61	38.86	77.13	34.06	1583.21
E18	B6P3	6	Natural	6.N	7807.85	21.07	0.00	467.78	0.86	2326.74	66.76	5.62	26.55	107.77	101.94	15866.20	0.00	815.59	4.50	561.78	5638.19	2.27	42.17	16.88	1259.15	1014.47	1694.52	7.12	30.24	165.92	31.55	2342.26
E19	B7P1	7	Natural	7.N	11805.30	23.21	0.00	383.57	0.71	1335.41	46.80	7.05	21.01	73.25	69.83	21415.10	0.00	1055.11	9.43	547.82	3622.84	0.48	31.56	11.41	1073.92	371.75	767.98	3.43	23.58	15.16	20.72	1708.17
E20	B7P2	7	Natural	7.N	13526.00	21.28	0.00	494.70	0.75	959.38	48.87	7.34	20.93	66.96	64.08	20629.00	0.00	1044.62	13.94	650.71	7646.89	0.63	21.87	11.74	1230.16	400.75	713.06	4.74	20.57	15.17	18.42	2873.98
E21	B7P3	7	Natural	7.N	13911.40	28.66	0.00	541.78	0.88	636.17	33.60	23.05	26.23	89.82	86.82	24906.70	0.00	1285.87	13.95	603.74	13849.40	1.25	30.88	17.67	1740.28	560.01	950.85	8.64	17.16	28.63	24.68	1501.01
E22	B10P1	8	Inoculated	8.I	13079.40	35.55	0.00	1049.33	0.62	4777.58	101.10	6.15	24.79	158.71	153.62	23091.90	0.00	1039.51	14.39	2762.49	4758.14	1.12	33.93	11.28	1590.08	1316.34	853.84	6.58	37.67	11.52	19.25	4607.28
E23	B10P2	8	Inoculated	8.I	15004.70	22.20	0.00	1038.79	0.45	1556.35	87.99	3.69	17.22	69.45	66.52	21493.80	0.00	1259.98	19.20	1253.34	2854.86	0.36	21.83	7.29	1247.18	428.28	575.16	3.99	34.24	8.33	13.68	2802.72
E24	B10P3	8	Inoculated	8.I	15455.60	30.12	0.00	1032.97	0.54	3375.47	93.67	6.66	27.46	139.29	134.56	23252.80	0.00	1316.12	20.20	1953.40	4201.00	1.14	35.02	11.46	1450.53	1070.11	816.11	6.28	36.64	12.28	19.18	4052.73
E25	B12P1	9	Ref	9.R	16044.80	89.77	0.00	1035.55	1.23	2162.46	173.04	12.06	43.27	490.84	469.60	32134.30	0.00	955.52	14.97	1497.78	8335.10	5.43	55.84	24.63	2866.87	4076.64	2532.41	19.27	68.98	239.68	61.31	6766.12
E26	B12P2	9	Ref	9.R	19631.30	54.83	0.00	1041.42	1.13	1554.67	166.05	14.25	26.56	250.98	244.27	32615.00	0.00	1054.30	28.85	1693.26	10023.50	1.91	39.32	16.68	2326.80	1884.30	1637.95	11.46	60.40	35.07	29.53	4840.84
E27	B12P3	9	Ref	9.R	19689.70	49.35	0.00	1035.29	0.82	1152.78	42.53	16.71	25.64	212.38	207.59	32298.10	0.00	956.28	32.73	1437.94	10884.60	1.50	32.98	12.19	2237.74	1367.81	972.13	9.82	37.58	12.83	24.93	2800.92
E28	N1	10	Inoculated	10.I	810.94	0.39	0.50	7.32	0.00	243.60	0.00	53.39	48.34	10.39	9.59	29409.60	0.00	55.20	2.82	106005.00	472.35	0.00	2.83	1211.48	61.66	1.63	68.84	0.00	0.57	3.02	0.59	20.09
E29	N2	10	Inoculated	10.I	11454.50	2.51	0.00	77.01	0.44	72.55	0.03	37.71	173.58	10.20	9.52	24494.60	0.00	310.53	11.37	6204.55	759.06	0.00	30.86	259.69	236.27	15.23	89.03	0.23	4.26	132.75	15.90	42.16
E30	N3	10	Inoculated	10.I	5208.33	1.35	0.82	38.93	0.04	576.51	0.17	71.49	242.33	13.23	11.16	48889.40	0.00	160.68	3.64	45297.80	1008.41	0.00	11.39	1521.59	235.92	23.85	308.14	0.07	3.07	13.37	3.48	51.45
